公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
深圳市紫川软件有限公司,紫川软件,500-2000人,不需要融资,福田区,数据分析师,3-5年,本科,9k-14k,周末双休 五险一金 员工旅游
上海海万信息科技股份有限公司,江苏亿科达,500-2000人,不需要融资,福田区,数据分析,3-5年,大专,10k-20k,"旅游,年终奖,过节费,环境好"
试金石信用服务有限公司,试金石信用,50-150人,不需要融资,南山区,数据分析师,3-5年,本科,15k-30k,行业前景好、大牛团队
深圳赫美智慧科技有限公司,赫美智科,500-2000人,B轮,福田区,数据分析师,不限,本科,6k-8k,互联网金融 上市公司 加班少 晋升空间
深圳市小牛在线互联网信息咨询有限公司,小牛在线,150-500人,不需要融资,南山区,数据分析师,3-5年,本科,15k-25k,"公司发展好,部门成长性,领导好,氛围好"
海南新浪爱问普惠科技有限公司,海南新浪爱问普惠科技有限公司,150-500人,未融资,南山区,数据分析师,3-5年,本科,15k-20k,"年终奖,餐补,员工旅游,年度体检"
乐格商业咨询（深圳）有限公司,乐格信息,150-500人,A轮,福田区,数据分析师,1年以下,大专,3k-5k,"五险一金,带薪年假,欢迎应届生,周末双休"
神策网络科技（北京）有限公司,神策数据,150-500人,C轮,南山区,数据分析师-深圳,3-5年,本科,10k-20k,五险一金
深圳市恒信永利金融服务有限公司,恒信永利,2000人以上,不需要融资,南山区,数据分析师,3-5年,不限,15k-25k,"可发挥空间,团队优秀,技术前沿"
深圳市人人聚财金融信息服务有限公司,人人聚财,2000人以上,A轮,南山区,数据分析师-科技赋能部,1-3年,本科,10k-15k,"奖金丰富,晋升空间大,向产品发展"
北京希为科技有限公司,希为科技,15-50人,不需要融资,福田区,数据分析师,3-5年,本科,15k-25k,"技术领先,14薪,六险一金,团队优秀"
深圳市环球易购电子商务有限公司,环球易购,2000人以上,上市公司,南山区,数据分析师,不限,本科,5k-8k,上市公司 福利待遇优厚
北京高域海汇科技有限公司,高域海汇,50-150人,不需要融资,南山区,数据分析师,3-5年,本科,15k-30k,"年底双薪,弹性制办公,带薪年假"
深圳白骑士大数据有限公司,深圳白骑士大数据有限公司,50-150人,A轮,南山区,数据分析师,3-5年,本科,15k-30k,"平台大,创新型,有挑战"
武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,2000人以上,不需要融资,龙岗区,数据分析师-深圳-02522,3-5年,本科,8k-16k,"五险一金,商业保险,聚餐聚会,节日礼品"
上海海万信息科技股份有限公司,江苏亿科达,500-2000人,不需要融资,福田区,数据分析师,3-5年,本科,10k-15k,"年终奖,双休,过节费,旅游"
中腾信金融信息服务（上海）有限公司,中腾信,2000人以上,不需要融资,南山区,数据分析,1-3年,本科,9k-15k,人才培养计
深圳中业兴融互联网金融服务有限公司,深圳中业兴融,500-2000人,A轮,南山区,数据分析,1-3年,本科,5k-10k,"综合型集团,低调有实力,年轻又耐撕"
深圳一叶知秋网络科技有限公司,一叶知秋,150-500人,D轮及以上,龙岗区,数据分析员,1-3年,本科,6k-8k,"细心,耐心,勤劳,勤快"
深圳市金斧子网络科技有限公司,金斧子,500-2000人,C轮,南山区,数据分析师,1-3年,本科,9k-13k,"年度旅游,氛围轻松,年度旅游"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,南山区,数据分析师,1-3年,本科,8k-12k,六险一金，餐补，带薪休假，扁平管理，过亿用户，职业大牛，晋升空间
招联消费金融有限公司,招联金融,500-2000人,不需要融资,南山区,数据分析工程师,3-5年,本科,18k-28k,初创公司，朝阳行业，广阔的发展空间
深圳利民网金融信息服务有限公司,利民网,150-500人,A轮,南山区,数据分析师,1-3年,大专,8k-12k,"团队氛围好,节日福利,弹性工作,扁平管理"
深圳虾皮信息科技有限公司,Shopee,2000人以上,上市公司,南山区,数据分析师/高级数据分析师,5-10年,本科,25k-50k,"新加坡公司,东南亚市场,15天年假,大牛多"
深圳市英思奇信息咨询有限公司,英思奇,50-150人,未融资,宝安区,数据分析师,3-5年,本科,18k-25k,"薪资福利好,环境高大上"
深圳市和讯华谷信息技术有限公司,极光,500-2000人,D轮及以上,南山区,极光调研 - 数据分析师,1-3年,本科,10k-20k,"业界第一,14薪+,牛逼团队,D轮+"
深圳市明源云客电子商务有限公司,明源云,2000人以上,上市公司,南山区,数据分析师,3-5年,本科,18k-30k,扁平管理，创新氛围，牛人大咖多
任子行网络技术股份有限公司,任子行,500-2000人,上市公司,南山区,数据分析师-00657,不限,本科,5k-10k,出差海外
众安在线财产保险股份有限公司,众安保险,2000人以上,上市公司,南山区,数据分析师,3-5年,本科,9k-10k,"餐补,通讯补贴,五险一金,下午茶"
深圳市启明星电子商务有限公司,启明星,150-500人,B轮,南山区,MSSQ010-数据分析师,1-3年,本科,8k-15k,平台好 氛围佳 上升空间大 福利待遇优
